"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-103a-3p",8166.46595716197,0.657215835692475,0.199484373935241,3.29457301706161,0.000985713320218887,0.00703654409104858
"hsa-miR-107",3998.34220287632,0.661745713596746,0.202451292816168,3.2686662771654,0.00108055666238642,0.00744383478532864
"hsa-miR-378c",67.5831157268497,0.8198323914681,0.1699243012112,4.82469185175065,1.4021988784109e-06,4.34681652307378e-05
"hsa-miR-320a-3p",1801.50397477582,0.826104799448814,0.187316506969183,4.41020822358557,1.03271268808852e-05,0.000213427288871627
"hsa-miR-128-3p",2091.72420955654,0.746060592753134,0.197139921846843,3.784421672505,0.000154066418634304,0.00149251843051982
"hsa-let-7f-5p",9902.79645224813,1.14228575787644,0.231327289607772,4.93796369556421,7.89425338500043e-07,3.05902318668766e-05
"hsa-let-7a-5p",3878.88334136053,1.00708987731039,0.249829274167014,4.03111236931001,5.55134932105874e-05,0.000614613674831504
"hsa-miR-186-5p",4171.57052859968,-0.929568474028552,0.153045953930635,-6.07378666442798,1.24928673976432e-09,1.29092963108979e-07
"hsa-miR-30e-3p",205.999189739763,-0.908177543865239,0.224272465643714,-4.04943844202434,5.13406799318674e-05,0.000612138876110727
"hsa-miR-500a-3p",247.705823870892,-1.14256987561071,0.276311756827273,-4.13507513661442,3.54838519488516e-05,0.000504264027290351
"hsa-miR-99a-5p",135.174354665387,-1.44373151730557,0.226912648352949,-6.36249908405251,1.98497222712384e-10,6.15341390408392e-08
"hsa-miR-125b-5p",56.7542155544446,-2.10152267300695,0.365329129295183,-5.75240927834401,8.79804843500734e-09,5.45479002970455e-07
"hsa-miR-100-5p",182.117618618616,-2.05453867855537,0.3700703503647,-5.55175165081624,2.82821203208296e-08,1.46124288324286e-06
"hsa-miR-181c-5p",155.160126070132,-0.814090191563493,0.214088688722988,-3.80258385634214,0.000143194774194346,0.00147967933334158
"hsa-miR-181d-5p",66.7999089902982,-0.641168433473869,0.232371541404945,-2.75923819929622,0.00579362880116906,0.0294430316124985
"hsa-miR-125a-5p",262.22188928948,-1.25055855272443,0.319299922134064,-3.91656391384701,8.98200109814772e-05,0.000960144944974411
"hsa-miR-1343-3p",25.5704077987972,-1.30263732015356,0.274144804292055,-4.75163964357254,2.0177373545179e-06,5.68635072636862e-05
"hsa-miR-99b-5p",358.489183376239,-1.12876955010476,0.273780450663993,-4.12290047506014,3.7413137508639e-05,0.000504264027290351
"hsa-miR-148a-3p",14294.7153522891,-0.715178901708077,0.264866307282942,-2.70015053648968,0.00693081078172292,0.0330546360359093
"hsa-miR-223-3p",2322.20824368469,-0.927372779547437,0.36134526769426,-2.56644506641804,0.0102746898608615,0.0475396098039862
"hsa-miR-145-3p",62.9814970742633,-2.56975441754151,0.568195274338236,-4.52266066544542,6.10671002509852e-06,0.000145621546752349
