"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-186-5p",4191.60040777635,-0.754159835307298,0.113378215242428,-6.65171729590851,2.8969274757535e-11,1.05158467369852e-08
"hsa-miR-103a-3p",12050.0616186346,1.23645436217694,0.213392521292547,5.7942722391936,6.86180746212529e-09,6.63258856989105e-07
"hsa-miR-107",5910.6460604074,1.25082354711288,0.216267977357374,5.78367432107595,7.30863754257967e-09,6.63258856989105e-07
"hsa-miR-30e-3p",192.804521087592,-0.970794628968824,0.173090813643887,-5.60858550798722,2.03986909124005e-08,1.48094496024028e-06
"hsa-miR-500a-3p",209.674417279301,-1.05940761854289,0.191095640845016,-5.54386072784411,2.95874202073381e-08,1.79003892254395e-06
"hsa-miR-99a-5p",128.375394379858,-0.917425849803296,0.166475633693543,-5.5108716479923,3.57061033604112e-08,1.85161650283275e-06
"hsa-miR-378c",63.0409817583248,0.742655131344434,0.140498577234079,5.28585517351627,1.25118855667869e-07,5.67726807592957e-06
"hsa-miR-185-5p",144.246198856038,1.77539677975877,0.338279342855923,5.24831568126503,1.5349610893409e-07,6.1910097270083e-06
"hsa-miR-125b-5p",57.5736206267277,-1.49426897652645,0.286187494025539,-5.22129375923428,1.77677432456976e-07,6.44969079818822e-06
"hsa-miR-100-5p",176.123230230457,-1.47015609128222,0.285759302113173,-5.14473572832278,2.67897667318546e-07,8.35456525614044e-06
"hsa-miR-181c-5p",143.539883092553,-0.916283638883117,0.178299505945089,-5.13901389701721,2.76183975409601e-07,8.35456525614044e-06
"hsa-let-7i-5p",2769.72528229084,0.706476445723823,0.14085924200496,5.01547811608235,5.29017459961607e-07,1.37166669975759e-05
"hsa-miR-486-5p",605816.657430661,1.22486691266277,0.248510382747969,4.92883596700663,8.27209883235984e-07,1.87673242259164e-05
"hsa-miR-301b-3p",118.397032860275,-0.753608487267093,0.15279059866412,-4.93229618743594,8.12685596313237e-07,1.87673242259164e-05
"hsa-miR-320a-3p",1802.2128728761,0.686588782005629,0.14697368118208,4.6715083713188,2.98995911094236e-06,6.38444210160046e-05
"hsa-miR-128-3p",2520.44366244711,0.84271485606869,0.184074757001878,4.57811201163281,4.69191446105411e-06,8.38665805701488e-05
"hsa-miR-142-3p",114.063378568285,-0.626258882396498,0.137004079849476,-4.57109659131728,4.85178565281853e-06,8.38665805701488e-05
"hsa-miR-181d-5p",61.5798656682606,-0.834348958917581,0.182503806026807,-4.57167977524276,4.83829938640562e-06,8.38665805701488e-05
"hsa-miR-25-3p",48290.4703100397,0.879913080175143,0.193592386570436,4.54518432136274,5.48872014003123e-06,9.05638823105153e-05
"hsa-miR-451a",16351.3195488043,1.35212545316012,0.304060352935254,4.44689825591316,8.71190746646952e-06,0.000137496626536019
"hsa-miR-125a-5p",261.137756911013,-1.04054089182866,0.237565347896144,-4.38001964951368,1.18668607683695e-05,0.00016199750398208
"hsa-miR-1343-3p",25.4692492444398,-0.937808014462471,0.214273245278115,-4.37669207485632,1.20494011226341e-05,0.00016199750398208
"hsa-miR-222-3p",401.741932546579,-0.816151111619554,0.189068628277437,-4.31669240452701,1.583846267199e-05,0.000198606091019819
"hsa-miR-99b-5p",339.106626480407,-0.897758405149411,0.207992568395912,-4.31630039512054,1.58666023128781e-05,0.000198606091019819
"hsa-miR-223-5p",197.123674720096,-0.859170623592314,0.200154082540614,-4.29254608592846,1.76635872434274e-05,0.000213729405645472
"hsa-miR-185-3p",29.6952340432079,1.24270884737512,0.292142041218372,4.25378299608105,2.1018900421606e-05,0.000246124543646547
"hsa-miR-148a-3p",12220.6746916628,-0.741196118765807,0.178634290792594,-4.14923761544968,3.33584405892749e-05,0.000378409810434587
"hsa-miR-223-3p",1983.88192813991,-0.932502722141355,0.231190525135422,-4.0334815693469,5.49564929483409e-05,0.000604521422431749
"hsa-miR-484",2693.04293735576,0.802949233205416,0.202129258332211,3.97245425937161,7.11358988486868e-05,0.000759480331825685
"hsa-miR-145-3p",63.1736078463995,-1.64554158790411,0.415744863219647,-3.95805633089622,7.55621396958286e-05,0.000783687334559593
"hsa-miR-423-3p",10734.4723280057,0.593010891066493,0.151928417200524,3.90322562423461,9.4919141804327e-05,0.000931233742566775
