,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,E_13,E_14,E_15,E_16,E_17,E_18,E_19,E_20,E_21,E_22,E_23,E_24,E_25,E_26,E_27,E_28,E_29,E_30,E_31,E_32,E_33,E_34,E_35,E_36,E_37,E_38,E_39,E_40,E_41,E_42,E_43,E_44,E_45,E_46,E_47,E_48,E_49,E_50,E_51,E_52,E_53,E_54,E_55,E_56,E_57,E_58,E_59,E_60,E_61,E_62,E_63,E_64,E_65,E_66,E_67,E_68,E_69,E_70
hsa-miR-486-5p,397640,71001,316091,659052,598359,692071,308566,419224,127466,936420,305655,302107,875592,518910,1229476,165743,495587,1172462,403210,746801,675978,909463,249838,308747,293265,635249,636325,246370,545536,657861,509295,407813,232083,561816,295117,267092,396004,259790,413645,203308,579379,351273,255152,213712,324145,495157,779822,410591,427592,462896,118094,770427,127396,475417,261109,471592,3444169,274623,450488,56973,326638,322858,371855,414318,987850,720590,1309976,933331,767724,318812
hsa-miR-423-5p,315219,33772,225962,291402,154004,215725,118329,162830,49782,177520,164006,293026,503398,225360,257381,40976,123950,168927,65762,126733,65036,292514,24142,70360,102277,328186,317129,104254,113263,452008,93886,41822,48298,90157,261169,168915,138434,185599,105474,146090,188679,155801,103371,119959,135540,323290,65271,224861,200386,208530,101172,245684,165698,130591,119074,254658,60976,200250,409680,16246,352419,451159,312479,376418,152937,116608,220773,184837,126353,27454
hsa-miR-191-5p,448650,124762,248043,338836,377716,405911,297924,355855,25021,62561,269429,283745,95619,564049,97181,49699,54012,65287,72230,45824,47201,100495,24318,27855,37514,65027,199794,28770,202016,54748,82670,42370,96124,233346,247134,246768,198180,111225,229570,80437,222201,138380,119263,122903,150571,313780,176300,299148,289099,197186,183712,297816,239806,247839,93073,234427,463523,77615,164947,9719,95739,211554,76404,215248,40150,125262,118526,122343,97794,28113
hsa-miR-142-5p,139978,45981,109436,85323,146471,99377,54338,81263,23164,42809,87298,167131,107256,104892,66902,43411,61949,28851,44967,24943,29630,105403,22731,36766,38263,127698,103478,50741,126180,49868,57488,20655,39552,58803,56795,90318,99176,107637,145439,50571,156483,107943,82844,103525,89255,167075,99335,97005,111204,172339,109645,224127,188779,99800,64089,86452,173337,96270,86757,17178,70031,154702,102324,212479,25085,62504,53027,95617,59931,31012
hsa-miR-22-3p,122555,38685,105103,92942,96180,126323,62215,84771,28966,81837,124566,160620,86652,110923,30965,42240,59934,13737,44004,14961,22379,95896,9318,31592,34226,96034,89010,45974,68733,44642,42349,8919,43545,36782,41698,113693,116361,102692,114816,80517,128890,102614,71615,85281,86213,176927,93296,125627,97220,105106,101517,153926,89582,58298,55666,87992,23323,98261,201841,19682,124330,217938,169469,304808,20291,35235,51506,146033,44523,35610
hsa-miR-16-5p,76506,8309,60380,53108,56776,51348,20992,52339,2512,10081,26415,30394,48581,31243,56955,7379,9855,23121,18085,26997,4134,27170,5478,5068,4593,18354,55897,7184,13759,9351,10761,4138,8327,10248,29736,80411,83404,82483,71943,23414,78777,56423,46639,51706,56581,167469,120328,76079,88726,75784,56926,121674,75581,72597,34933,54965,1067087,20151,18114,818,11148,19385,9873,36010,28028,114881,66370,56740,104054,9613
hsa-miR-25-3p,56521,9586,44562,61443,56719,76677,23233,41549,10489,48160,34804,33931,54461,35316,103124,15662,23816,88620,33128,36734,28043,45248,27624,14184,17236,55924,62953,18301,46809,41069,29584,26037,21088,33384,39880,39227,47133,36434,37420,22461,65194,45436,31282,37142,29619,87513,64580,52615,46821,59184,34666,84511,49546,36624,32600,36980,340792,24329,45606,4388,28440,37387,30671,40868,64556,71490,90681,73944,68619,40940
hsa-miR-92a-3p,61469,14371,41763,54224,41773,35453,17757,56607,8679,29732,41533,66657,30866,37408,42678,11327,18198,32946,18772,12581,15944,35367,9023,11403,19158,38909,67372,18595,39850,13561,26732,13045,25511,37671,13240,58345,46820,30094,53722,26780,52617,46214,34980,45210,34159,75893,34349,57778,62137,54069,52189,84747,58554,24952,31205,34865,272444,20245,39159,2313,21702,34344,19668,43255,17521,31430,50516,40053,27916,11945
hsa-miR-451a,12315,3340,8780,11232,16853,15156,4877,12598,1227,4871,5946,3500,17141,5189,29699,3120,3871,8369,9319,9651,3569,11667,9832,3287,1281,6031,13907,3527,7746,2560,4785,5402,7094,5344,3760,11989,14529,11582,18822,5079,19685,12454,11945,9810,10421,26473,56754,16927,16548,18349,6556,36829,6013,19743,13460,15193,544319,3622,7513,720,3398,3488,3331,8371,18245,85951,35017,34679,76316,12896
hsa-miR-6529-5p,32528,3579,26253,36552,14728,19704,9357,18123,4159,11642,15739,34970,49101,26060,19731,3064,11491,15802,6732,7965,4663,25116,1718,6490,12005,35494,33257,14391,14287,42637,8984,3275,4921,9172,28718,16141,17709,22565,10426,20907,22093,17842,11951,15836,17115,39374,14183,24099,22614,29056,17527,36468,25115,15903,9507,23911,8740,28219,45661,1879,44206,51683,41320,48876,8880,10512,13999,18997,10814,1933
