,E_1,E_2,E_3,E_4,E_5,E_6,E_7,E_8,E_9,E_10,E_11,E_12,E_13,E_14,E_15,E_16,E_17,E_18,E_19,E_20,E_21,E_22,E_23,E_24,E_25,E_26,E_27,E_28,E_29,E_30,E_31,E_32,E_33,E_34,E_35,E_36,E_37,E_38,E_39,E_40,E_41,E_42,E_43,E_44,E_45,E_46,E_47,E_48,E_49,E_50,E_51,E_52,E_53,E_54,E_55,E_56,E_57,E_58,E_59,E_60,E_61,E_62,E_63,E_64,E_65,E_66,E_67,E_68,E_69,E_70
mmu-miR-486a-5p,204430,36027,160931,333605,303132,354642,155988,210833,65426,470589,153892,152366,440564,262534,618544,85338,255096,602908,206706,377321,339405,457426,125476,156039,150845,319489,322640,126663,281362,330016,259208,204322,117183,286491,149036,134456,198486,130338,207616,102024,291645,176042,127155,107098,162483,250078,389601,205221,214540,231985,59579,387134,63854,238986,132794,235591,1728054,137501,227512,28488,162840,161478,187094,207107,494955,359365,653196,465671,388792,159250
mmu-miR-486b-5p,193129,34949,155094,325299,295104,337278,152497,208344,62026,465637,151697,149678,434844,256245,610702,80400,240352,569474,196359,369209,336441,451607,124317,152601,142331,315591,313484,119625,263988,327719,250007,203406,114859,275217,145926,132490,197324,129278,205798,101197,287394,175061,127845,106486,161457,244794,389702,205104,212803,230724,58460,382903,63491,236196,128197,235661,1714250,136919,222660,28449,163583,161146,184488,206869,492406,360843,655778,467201,378456,159356
mmu-miR-423-5p,314987,33760,225765,291219,153822,215617,118229,162747,49740,177313,163877,292765,503018,225265,257127,40956,123893,168626,65737,126654,64969,292278,24120,70288,102160,327739,316806,104162,113132,451624,93796,41782,48223,90063,261168,168739,138254,185539,105374,145902,188559,155755,103232,119893,135379,323000,65203,224738,200158,208360,101210,245379,165465,130502,118930,254471,60864,200183,408901,16210,351691,450290,311784,375579,152477,116225,220216,184337,125979,27377
mmu-miR-191-5p,448663,124769,248056,338826,377732,405939,297948,355866,25017,62567,269438,283776,95637,564086,97208,49710,54023,65297,72236,45832,47217,100508,24330,27869,37519,65038,199812,28778,202032,54772,82681,42372,96129,233388,247155,246756,198170,111234,229569,80446,222222,138384,119250,122897,150589,313785,176324,299140,289087,197203,183710,297830,239813,247852,93075,234424,463552,77622,164960,9725,95748,211576,76423,215243,40167,125278,118524,122378,97815,28114
mmu-miR-142a-5p,141244,46202,110131,85884,147443,100118,54630,81927,23246,42974,88021,168144,107815,105543,67163,43655,62209,28940,45153,25032,29791,106025,22830,36904,38463,128196,104262,50896,126558,49972,57708,20760,39918,59146,57015,91258,99971,108340,146783,50871,157405,108953,83468,104220,89964,168227,99959,97861,112186,173475,110428,225555,190290,100623,64775,86917,174406,96911,87200,17235,70338,155448,102779,213937,25193,62968,53712,96565,60322,31190
mmu-miR-22-3p,122576,38689,105109,92951,96195,126344,62221,84789,28971,81848,124577,160623,86674,110936,30968,42245,59946,13743,44009,14963,22383,95904,9321,31595,34225,96045,89017,45982,68738,44650,42352,8917,43548,36780,41719,113717,116388,102727,114848,80538,128920,102656,71620,85292,86238,176952,93325,125644,97239,105118,101580,153957,89596,58312,55678,88012,23328,98287,201860,19680,124344,217992,169505,304866,20293,35240,51513,146058,44529,35621
mmu-miR-16-5p,76581,8320,60426,53143,56832,51388,21016,52382,2517,10084,26442,30430,48626,31273,57014,7387,9860,23140,18096,27018,4142,27189,5485,5078,4598,18376,55969,7188,13772,9364,10771,4147,8335,10265,29757,80478,83439,82542,72008,23434,78841,56465,46673,51752,56620,167575,120403,76136,88795,75837,56971,121728,75632,72644,34954,55003,1067827,20168,18128,819,11150,19395,9885,36032,28047,114973,66412,56771,104134,9621
mmu-miR-25-3p,56537,9589,44575,61456,56733,76701,23245,41563,10497,48164,34820,33948,54464,35317,103121,15670,23838,88662,33124,36736,28057,45270,27625,14189,17237,55940,62965,18307,46811,41083,29596,26044,21088,33396,39884,39237,47145,36447,37428,22471,65220,45443,31296,37147,29634,87530,64593,52626,46834,59189,34675,84521,49557,36633,32615,36993,340856,24334,45619,4387,28439,37404,30674,40889,64561,71467,90688,73940,68614,40939
mmu-miR-92a-3p,61614,14389,41847,54299,41854,35539,17804,56686,8703,29797,41611,66786,30931,37477,42838,11347,18229,33025,18829,12616,15988,35454,9061,11430,19204,38999,67520,18627,39932,13589,26829,13100,25565,37787,13261,58500,47022,30206,53861,26865,52805,46350,35096,45352,34267,76107,34479,57938,62309,54279,52326,85021,58739,25070,31319,34941,273593,20287,39251,2318,21740,34403,19726,43334,17585,31553,50695,40178,28004,11979
mmu-miR-451a,12300,3342,8783,11240,16854,15152,4879,12601,1227,4874,5946,3500,17131,5187,29684,3120,3871,8372,9314,9651,3569,11659,9820,3290,1278,6028,13906,3525,7741,2556,4784,5402,7095,5347,3759,11992,14532,11593,18830,5082,19688,12454,11953,9811,10421,26470,56764,16926,16550,18357,6558,36824,6015,19738,13460,15199,544348,3621,7513,720,3399,3487,3331,8370,18249,85941,35017,34677,76301,12894
