,M_1,M_2,M_3,M_4,M_5,M_6
hsa-miR-486-5p,288954,236794,1145459,267940,649117,1234925
hsa-miR-192-5p,48601,34073,71969,51390,44334,90152
hsa-miR-10b-5p,24170,23696,34907,31321,39394,106341
hsa-miR-92a-3p,25025,26848,44055,33441,49246,75898
hsa-miR-22-3p,20257,19489,28938,30148,47784,159342
hsa-miR-143-3p,20465,12387,28479,27103,36310,157128
hsa-miR-191-5p,15284,12752,15580,19995,20304,61609
hsa-miR-30a-5p,10609,10604,37385,11885,20081,63167
hsa-miR-25-3p,11104,8972,35073,12812,25362,39081
hsa-miR-10a-5p,15859,14312,17077,25088,20167,52925
hsa-miR-21-5p,9149,12445,16463,16123,19004,36281
hsa-miR-16-5p,8051,7047,17163,10277,18572,24274
hsa-miR-27b-3p,8499,8990,12591,13774,20764,45356
hsa-let-7c-5p,10357,10090,16666,15975,15898,29597
hsa-let-7i-5p,5529,7437,19308,7394,13630,23037
hsa-miR-181a-5p,7206,9235,11556,8946,14552,31790
hsa-let-7f-5p,5530,7580,9793,8126,14437,33065
hsa-miR-126-5p,4998,4477,4283,8612,14595,46990
hsa-miR-142-5p,3487,3526,4841,8552,7640,24151
hsa-miR-148a-3p,5909,3844,9413,5930,9163,16620
hsa-miR-30d-5p,4906,4612,7596,7215,7772,19757
hsa-miR-103a-3p,4528,4281,7435,4490,6676,12440
hsa-miR-375-3p,4319,5639,3684,8361,11116,13200
hsa-miR-378a-3p,3722,3977,9623,4362,8999,15593
hsa-miR-140-3p,1752,1799,4141,2793,4224,12705
hsa-miR-423-5p,5327,4412,3691,4731,8993,15689
hsa-miR-26a-5p,2340,2517,4009,4571,3456,15214
hsa-miR-215-5p,2546,3323,2391,4193,4477,9374
hsa-let-7g-5p,2409,2728,4092,3887,3862,8497
hsa-miR-451a,1848,1745,5811,2811,3513,3896
hsa-let-7a-5p,2249,2461,3374,3381,5563,12149
hsa-miR-101-3p,2341,2214,6526,3128,4033,9359
hsa-miR-30e-5p,970,1293,2348,1909,3784,15127
hsa-miR-93-5p,1352,1433,4293,2300,2954,6085
hsa-miR-107,2033,2043,3262,1982,3236,5712
hsa-miR-146a-5p,1343,1756,1670,1652,3093,4269
hsa-miR-125a-5p,3400,2346,2764,5059,2830,10891
hsa-miR-128-3p,1072,1143,1064,1879,1651,4701
hsa-let-7b-5p,1680,1575,1585,2466,3363,5510
hsa-miR-133a-3p,2071,1471,2936,1588,4658,5084
hsa-miR-26b-5p,933,940,1163,1943,1474,5181
hsa-miR-182-5p,1142,1622,1343,1710,1182,2317
hsa-miR-30c-5p,995,1111,3173,2057,426,988
hsa-miR-320a-3p,831,799,1289,1170,1933,4370
hsa-miR-486-3p,987,841,1918,1040,2334,3773
hsa-miR-150-5p,382,1033,865,5290,883,2951
hsa-miR-99b-5p,1697,1332,1850,1962,1251,5612
hsa-miR-423-3p,886,982,727,1831,1602,2062
hsa-miR-221-3p,505,562,1466,1246,1154,3184
hsa-miR-106b-3p,380,444,1828,498,871,790
hsa-miR-130a-3p,530,451,1044,589,896,3552
hsa-miR-29a-3p,746,690,836,1303,1233,3636
hsa-miR-151a-3p,646,731,1077,857,1106,2163
hsa-miR-186-5p,503,496,1157,920,685,820
hsa-miR-146b-5p,913,620,611,1320,1450,3748
hsa-miR-27a-3p,499,603,471,1175,1103,2841
hsa-miR-181b-5p,490,633,716,545,1080,2189
hsa-miR-532-5p,498,573,943,864,1140,2181
hsa-let-7d-3p,805,821,711,1599,1268,1435
hsa-miR-30a-3p,799,573,1715,621,979,1579
hsa-let-7d-5p,403,438,499,616,873,1949
hsa-miR-181c-5p,217,353,668,418,624,1679
hsa-miR-23a-3p,397,483,645,962,645,1756
hsa-miR-126-3p,498,475,473,1123,899,2091
hsa-miR-744-5p,583,479,299,829,996,1410
hsa-miR-328-3p,345,288,636,708,577,1003
hsa-miR-30b-5p,271,349,1175,748,167,487
