"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-182-5p",387.609113875929,2.09584518503854,0.243652204264028,8.60179037316413,7.8482044934149e-18,1.65597114811054e-15
"hsa-miR-99a-5p",69.2823969924618,-1.46693095120882,0.244454541834508,-6.00083328458635,1.96307468327163e-09,2.07104379085157e-07
"hsa-miR-375-3p",487.615747997057,1.47747705354584,0.266504477760485,5.54391080390658,2.95789553123108e-08,2.08038652363253e-06
"hsa-miR-505-3p",69.0503652352945,-1.61002833323184,0.311776351371305,-5.16404892850389,2.41664482558457e-07,1.27478014549586e-05
"hsa-miR-223-3p",247.227889715996,1.2862427466979,0.256945351846763,5.0059000384836,5.56016079617478e-07,2.34638785598576e-05
"hsa-miR-124-3p",2.90169319275068,4.84743292747531,1.02794060828979,4.71567412395556,2.40911760670475e-06,8.47206358357838e-05
"hsa-miR-107",422.506636069526,1.37334171644258,0.298173507479846,4.60584754175522,4.10789281659013e-06,0.000123823626328645
"hsa-miR-125a-5p",659.270004701086,-0.906946443087238,0.214334875827773,-4.23144595383538,2.32193790653047e-05,0.000612411122847413
"hsa-miR-143-3p",1895.07055228086,1.47473143115195,0.351848857674824,4.19137762986538,2.77265721626591e-05,0.00065003408070234
"hsa-miR-205-5p",55.8931842935989,-1.22995335539208,0.297070199167027,-4.14027848919488,3.46884434388277e-05,0.000731926156559265
"hsa-miR-200a-3p",82.140859961165,1.20373318153345,0.295900923518114,4.06802779532304,4.74127268172559e-05,0.000909462305312817
"hsa-miR-183-5p",38.5531089699986,1.26737931335841,0.313382412813545,4.04419412684935,5.25034035426638e-05,0.000923184845625172
"hsa-miR-615-3p",10.4686889101689,-1.80746333585699,0.458130599095092,-3.94530149138068,7.96996352192593e-05,0.00129358638702029
"hsa-miR-103a-3p",928.499113659883,1.10524698877339,0.288320067982922,3.83340291401034,0.000126382694248682,0.00190476774903371
"hsa-miR-100-5p",36.7120590425646,-1.17555777071614,0.320559852054341,-3.66720212522701,0.000245218954465651,0.00344941329281682
"hsa-miR-203a-3p",70.2241752223854,-1.05983747785671,0.298639216519787,-3.5488891586564,0.000386859886543823,0.00510171475379667
"hsa-miR-21-3p",15.846063456208,1.97452809767281,0.561730073923937,3.51508347039325,0.000439615788986306,0.00545640773388886
"hsa-miR-141-3p",86.9481016613776,1.10366248091697,0.319264240044313,3.45689351480073,0.000546440730534456,0.00606836811277737
"hsa-miR-501-3p",51.8489000947657,-0.951741565692442,0.274865700135066,-3.46256941198836,0.000535043887418036,0.00606836811277737
"hsa-let-7d-3p",105.127891587464,-0.769234385229067,0.228195337750939,-3.37094698257437,0.00074910272790739,0.00790303377942296
"hsa-miR-30c-5p",330.52322826063,-0.939581398695847,0.280710190648539,-3.34715813674269,0.000816446211272944,0.00820334050374244
"hsa-miR-652-3p",24.5169841279135,0.916725773108888,0.290694183517323,3.15357452982632,0.00161284039119931,0.0154686055701388
"hsa-miR-215-5p",898.343833136567,0.941333495846103,0.300665583206323,3.1308322216585,0.00174311714976525,0.0159912051565421
"hsa-let-7g-5p",1554.07129685425,-0.808406593041065,0.261893901994091,-3.08677134857193,0.00202343174511379,0.017789337425792
"hsa-miR-20a-5p",27.1287146566554,-0.965685742504505,0.32418061197746,-2.97885100720227,0.00289331428807031,0.0233072872389513
"hsa-miR-18a-3p",7.44218000384197,-1.75491063876524,0.590970313761005,-2.96954110536751,0.00298244907797008,0.0233072872389513
"hsa-miR-532-3p",9.89025951935506,1.42783595999646,0.478812240428812,2.98203729862405,0.00286337111772082,0.0233072872389513
"hsa-miR-486-5p",190411.708267389,-1.06237387251725,0.359457879825668,-2.95548917451047,0.00312173652214992,0.0235245145062012
"hsa-miR-125b-5p",103.087558488573,-0.80317503464917,0.27406379160838,-2.93061345293236,0.00338293438779483,0.0246137639939555
"hsa-miR-138-5p",129.541426271348,-0.861949703120475,0.296813326184199,-2.90401281573712,0.00368413079137107,0.0259117198993098
"hsa-miR-15b-3p",13.697859766733,-1.32420815282389,0.472590763647389,-2.80201869076711,0.00507839313227846,0.0345658371261534
"hsa-miR-16-5p",5807.11572442107,-0.813446947378933,0.296524167730925,-2.74327368862925,0.00608299622065381,0.040109756329936
"hsa-miR-191-5p",7998.39181252861,-0.61801699284686,0.226526323895967,-2.72823476855911,0.00636742729192603,0.0407129441998907
"hsa-miR-181a-2-3p",55.7482755654615,-0.801932448711669,0.297782566292122,-2.69301342485235,0.00708094177625748,0.0439434916114803
"hsa-miR-22-5p",28.1149410026595,1.31756976765532,0.494213488941533,2.66599313280013,0.00767612609337331,0.0462760744486219
