,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,H_12
hsa-miR-486-5p,61618,226528,400298,477084,252368,85970,150982,69023,203970,88075,228784,121028
hsa-miR-92a-3p,4981,9771,15370,20912,13080,12405,11205,4301,13161,9438,15217,21253
hsa-miR-191-5p,3078,7562,11947,13577,12470,7404,9489,2975,7373,6676,11701,6686
hsa-miR-16-5p,1992,6032,10947,12418,8025,3717,5713,2316,5350,3361,8168,4756
hsa-miR-22-3p,2956,6450,8537,12334,12268,23832,19272,5096,14931,12120,19498,90669
hsa-miR-26a-5p,528,1875,2276,3581,1666,2697,1324,649,2719,1811,3587,2046
hsa-miR-192-5p,1313,2556,4230,5692,3274,14038,14884,3686,6990,4427,9890,44696
hsa-miR-451a,527,2215,3259,3903,2334,974,1372,711,2244,888,2205,945
hsa-miR-25-3p,1058,2583,4400,5226,3114,1842,2950,1128,2900,1732,3455,3422
hsa-let-7c-5p,788,1970,3752,4572,2186,2219,735,844,2936,1748,3422,3651
hsa-let-7f-5p,342,632,740,1501,793,1500,443,448,1457,1023,1826,1087
hsa-let-7g-5p,1023,1423,2252,2645,1829,1379,880,623,1530,1108,2030,1842
hsa-miR-142-5p,1756,1882,2410,3475,4005,4190,6934,1380,4494,3965,4541,3691
hsa-miR-30e-5p,671,1962,2397,3032,2851,2232,2883,881,2582,2351,3244,2354
hsa-let-7i-5p,471,950,1605,2070,1049,797,831,513,1251,790,1733,1377
hsa-miR-30a-5p,397,1311,2207,2699,1798,2773,2256,857,3070,1645,3068,10686
hsa-miR-27b-3p,974,1582,1681,3427,3665,4099,3690,1196,4189,3264,4922,5371
hsa-miR-181a-5p,723,1035,1286,2280,2070,2870,2640,838,3004,2202,3332,3014
hsa-miR-148a-3p,537,779,2189,2877,1179,7336,2541,742,3328,1339,3221,18358
hsa-miR-150-5p,3565,839,1425,2212,3907,6872,3529,1657,4376,5247,3913,5487
hsa-let-7a-5p,205,213,309,509,326,505,142,159,524,392,666,471
hsa-miR-93-5p,273,873,1220,1464,879,598,765,293,809,578,1070,803
hsa-miR-143-3p,341,534,571,1556,763,2551,2806,749,6326,1846,7013,2784
hsa-miR-423-5p,115,894,1014,1740,1190,1378,1142,519,1363,842,1845,2732
hsa-miR-30d-5p,299,598,821,1208,1302,1460,1350,423,1474,1023,1678,2200
hsa-miR-10b-5p,561,927,970,2195,2357,2488,1911,690,2847,2087,2356,1443
hsa-miR-103a-3p,185,505,412,838,772,794,1706,440,1174,902,1336,4354
hsa-let-7b-5p,198,448,815,1007,510,564,154,221,672,414,763,960
hsa-miR-26b-5p,209,340,573,771,411,664,297,177,562,418,709,834
hsa-miR-10a-5p,303,546,671,1710,1176,1844,1419,574,3247,1330,2454,1275
hsa-miR-378a-3p,203,436,971,705,631,641,724,270,611,527,782,1963
hsa-miR-140-3p,259,405,631,876,642,540,1042,228,726,538,736,823
hsa-miR-144-5p,22,97,151,236,82,81,45,38,130,44,179,60
hsa-miR-186-5p,255,528,705,933,817,903,952,263,893,749,862,965
hsa-miR-21-5p,396,411,475,971,1034,1135,1280,475,1050,790,1023,5105
hsa-miR-30c-5p,95,413,491,842,306,473,171,107,235,246,390,524
hsa-miR-301a-3p,89,273,588,633,285,170,300,134,224,169,334,237
hsa-miR-215-5p,222,467,511,751,587,1068,3054,543,902,838,1885,1209
hsa-miR-423-3p,115,284,425,574,371,333,512,112,337,287,447,719
hsa-miR-128-3p,234,350,554,691,481,588,499,186,530,462,596,685
hsa-miR-125a-5p,232,532,769,1185,1003,1640,668,147,755,591,604,592
hsa-miR-133a-3p,70,374,329,406,534,208,452,292,550,926,746,558
hsa-miR-130a-3p,84,195,313,362,277,259,253,89,393,224,420,1887
hsa-let-7d-5p,30,69,89,151,62,110,45,45,117,79,156,80
hsa-miR-29a-3p,245,204,270,442,674,880,756,222,846,718,774,2008
hsa-miR-126-5p,129,255,266,504,518,599,666,193,820,634,972,550
hsa-miR-144-3p,29,108,110,157,102,45,77,37,92,40,181,46
hsa-miR-107,74,192,160,295,339,346,815,212,577,409,647,2117
hsa-miR-27a-3p,127,281,189,476,672,853,843,217,1301,758,766,1122
hsa-miR-101-3p,72,132,230,367,244,522,358,126,430,258,433,1715
hsa-miR-15a-5p,58,152,259,289,189,129,188,104,241,156,304,276
hsa-miR-375-3p,120,156,170,339,224,489,1379,348,843,819,733,846
hsa-miR-138-5p,42,138,251,250,195,94,126,57,126,87,125,106
hsa-miR-744-5p,32,138,128,227,148,142,203,55,157,149,266,246
hsa-miR-182-5p,49,77,83,252,181,281,586,275,978,751,1201,735
hsa-miR-320a-3p,136,144,240,303,275,331,171,104,251,248,275,784
hsa-miR-106b-3p,21,77,147,201,83,47,40,26,104,45,95,63
hsa-miR-221-3p,125,157,201,335,491,347,404,101,320,302,249,1054
hsa-miR-199a-3p,71,187,163,524,355,605,253,107,545,300,411,206
hsa-miR-425-5p,41,76,134,155,136,130,183,50,152,130,175,218
hsa-miR-19b-3p,51,97,153,166,120,95,126,55,102,67,84,118
hsa-miR-223-3p,63,107,88,189,183,202,688,78,353,424,560,577
hsa-miR-181c-5p,22,76,119,153,108,94,186,49,179,129,194,159
hsa-miR-106b-5p,22,89,112,142,102,67,82,28,85,66,139,76
hsa-miR-151a-3p,33,72,94,178,187,190,187,57,188,103,225,542
hsa-miR-99b-5p,59,113,150,270,255,337,270,66,311,175,189,369
hsa-miR-505-3p,31,88,163,147,88,69,30,21,33,44,59,50
hsa-miR-328-3p,43,69,112,149,105,136,123,34,107,86,146,114
hsa-miR-532-5p,64,94,93,245,227,202,463,96,191,202,215,464
hsa-let-7d-3p,52,99,139,203,123,145,92,29,90,117,145,87
hsa-miR-181b-5p,46,62,78,132,117,174,173,60,218,127,239,281
hsa-miR-28-3p,74,76,107,184,181,275,166,71,223,133,225,362
hsa-miR-342-3p,82,55,98,134,185,198,146,43,128,146,105,105
hsa-miR-181a-2-3p,30,54,85,109,65,55,58,14,65,22,93,53
hsa-miR-23a-3p,55,69,64,141,215,203,227,67,221,204,247,155
hsa-miR-199b-3p,45,89,61,290,179,358,108,44,277,149,209,120
hsa-miR-484,39,45,82,98,88,65,68,31,74,53,66,94
hsa-miR-15b-5p,14,47,71,75,63,52,37,16,57,53,92,50
hsa-miR-125b-5p,36,119,129,156,165,164,86,28,127,122,110,58
hsa-miR-30b-5p,25,46,58,80,82,163,71,32,98,132,176,290
hsa-miR-126-3p,35,76,81,144,132,169,96,33,241,173,208,127
hsa-miR-17-5p,19,34,73,63,59,22,25,18,34,37,43,35
hsa-miR-486-3p,9,48,85,96,60,12,35,16,46,32,63,35
hsa-miR-122-5p,1,2,61,114,4,395,11,12,139,19,90,1004
hsa-miR-142-3p,37,38,44,71,101,80,57,23,64,66,79,60
hsa-miR-92b-3p,58,74,43,247,139,188,223,37,99,126,142,333
hsa-miR-146a-5p,44,50,57,104,176,167,171,67,96,114,157,184
hsa-miR-20a-5p,15,24,47,45,48,23,24,6,14,30,29,30
hsa-miR-222-3p,30,69,84,147,122,165,103,37,88,129,115,209
hsa-miR-193b-3p,2,6,21,17,18,5,5,3,9,9,7,7
hsa-miR-30a-3p,10,25,58,66,61,61,47,11,88,46,86,306
hsa-miR-191-3p,15,37,66,71,63,66,93,17,37,47,99,89
hsa-miR-99a-5p,38,75,82,134,139,134,66,5,51,47,56,53
hsa-miR-141-3p,19,32,41,69,56,118,256,76,97,74,162,144
hsa-miR-200a-3p,19,29,37,77,43,94,209,70,112,59,162,190
hsa-miR-98-5p,9,14,32,38,25,15,3,7,25,14,20,16
hsa-miR-194-5p,8,8,14,28,17,31,24,4,25,14,35,117
hsa-miR-155-5p,65,20,26,66,104,95,56,26,77,63,83,95
hsa-miR-29c-3p,10,27,36,50,52,48,66,15,64,51,66,109
hsa-miR-203a-3p,47,45,45,124,142,155,88,21,49,55,47,58
hsa-miR-19a-3p,3,20,38,41,29,14,21,7,17,17,23,19
hsa-miR-23b-3p,19,22,18,31,62,59,61,14,84,46,53,57
hsa-miR-501-3p,25,45,38,115,99,93,69,13,50,42,39,40
hsa-miR-30e-3p,6,7,13,28,20,19,19,5,23,19,36,36
hsa-miR-205-5p,21,53,40,134,84,163,41,18,44,49,48,32
hsa-miR-24-3p,14,20,16,47,79,45,94,24,33,55,83,55
hsa-miR-361-5p,11,17,30,25,23,26,39,7,27,23,39,41
hsa-miR-652-3p,7,8,16,32,19,22,50,9,38,27,65,57
hsa-miR-15b-3p,6,15,37,26,19,9,17,0,15,7,14,7
hsa-miR-1343-3p,9,18,16,27,19,12,12,4,14,16,20,17
hsa-miR-181d-5p,4,17,24,36,17,29,20,9,29,16,36,15
hsa-miR-320b,7,13,21,19,36,28,30,11,46,19,46,214
hsa-miR-100-5p,16,39,44,54,64,86,23,7,56,27,31,19
hsa-miR-183-5p,11,8,11,37,37,34,54,19,78,78,111,58
hsa-miR-148b-3p,9,9,17,19,11,18,14,3,12,10,10,20
hsa-miR-340-5p,7,9,14,22,27,24,31,15,41,20,39,78
hsa-miR-146b-5p,1,8,10,36,40,32,65,13,19,29,45,58
hsa-miR-125b-2-3p,9,15,14,29,25,34,42,11,31,24,36,35
hsa-miR-22-5p,2,9,8,14,32,42,22,9,58,26,41,180
hsa-miR-151a-5p,3,7,3,2,7,9,4,1,8,7,10,12
hsa-miR-149-5p,10,17,20,30,26,27,31,15,21,31,31,29
hsa-miR-378c,5,7,20,12,17,10,21,6,12,23,32,68
hsa-miR-499a-5p,1,20,15,12,19,8,7,12,13,33,31,17
hsa-miR-132-3p,7,18,15,28,29,27,32,14,29,31,37,39
hsa-miR-378i,3,7,12,9,0,6,10,4,7,8,7,18
hsa-miR-374b-5p,0,9,9,7,1,2,3,1,2,4,3,2
hsa-miR-18a-3p,0,13,21,23,6,6,5,3,2,3,5,6
hsa-miR-1260b,0,4,15,8,5,2,4,2,4,2,4,6
hsa-miR-93-3p,7,6,10,6,4,8,5,1,6,7,5,5
hsa-miR-127-3p,4,5,11,21,11,25,27,10,23,23,30,15
hsa-miR-185-5p,1,1,9,8,9,3,6,2,2,5,4,1
hsa-miR-1843,3,2,7,15,11,25,12,4,16,14,21,61
hsa-miR-24-2-5p,5,15,11,19,24,17,29,5,17,23,29,32
hsa-miR-31-5p,3,7,16,27,5,32,11,4,18,6,42,44
hsa-miR-214-3p,4,25,6,41,42,24,13,8,19,14,26,14
hsa-miR-25-5p,2,2,10,8,6,6,3,6,4,6,9,13
hsa-miR-497-5p,3,4,7,16,21,17,26,6,19,28,32,26
hsa-miR-1306-5p,4,3,9,10,11,10,7,3,5,3,6,3
hsa-miR-208b-3p,2,10,8,13,12,8,21,8,5,26,16,16
hsa-miR-21-3p,2,5,3,5,13,11,28,8,9,12,24,128
hsa-miR-574-3p,3,14,5,22,19,16,28,5,23,9,20,22
hsa-miR-145-3p,4,8,7,18,16,28,19,4,43,18,39,20
hsa-miR-301b-3p,2,5,11,13,12,8,11,2,5,6,19,5
hsa-miR-204-5p,2,3,11,14,14,4,27,5,14,25,24,8
hsa-miR-342-5p,5,3,7,5,11,23,9,2,10,13,9,11
hsa-miR-152-3p,6,6,6,17,8,22,16,6,13,12,9,111
hsa-miR-877-5p,4,6,11,17,14,17,5,3,5,8,12,24
hsa-let-7e-5p,3,4,2,10,4,10,8,3,17,9,17,15
hsa-miR-199a-5p,2,6,15,17,10,30,13,9,31,12,20,12
hsa-miR-1260a,1,2,7,9,5,2,5,0,8,1,3,4
hsa-miR-29b-3p,3,8,9,11,8,13,24,1,11,9,13,52
hsa-miR-671-3p,2,2,8,6,11,8,14,5,5,11,8,20
hsa-miR-1249-3p,2,6,9,24,13,16,17,2,10,17,9,19
hsa-miR-615-3p,6,12,8,22,32,19,11,0,7,5,9,3
hsa-miR-335-5p,2,11,11,14,15,19,11,5,29,6,25,11
hsa-miR-18a-5p,4,2,2,4,5,2,3,1,2,2,4,3
hsa-miR-17-3p,2,3,3,6,2,5,5,1,9,4,9,7
hsa-miR-210-3p,2,6,2,10,11,28,17,6,13,17,22,33
hsa-miR-224-5p,2,4,9,14,23,16,12,2,11,10,14,3
hsa-miR-150-3p,10,4,4,6,15,12,22,5,11,19,20,17
hsa-miR-28-5p,1,3,7,10,5,12,9,7,11,6,26,23
hsa-miR-145-5p,4,2,9,14,8,22,6,5,20,14,26,11
hsa-miR-532-3p,2,2,3,9,10,7,36,6,11,15,10,26
hsa-let-7a-3p,2,4,14,8,6,9,7,1,1,5,9,10
hsa-miR-200b-3p,0,10,4,23,13,21,17,6,8,11,18,14
hsa-miR-195-5p,2,4,10,10,10,10,10,1,13,3,6,10
hsa-miR-505-5p,0,1,5,5,6,2,0,2,1,2,3,1
hsa-miR-223-5p,1,2,3,12,13,9,18,2,8,13,15,21
hsa-miR-324-3p,2,1,2,4,5,2,3,0,2,3,3,8
hsa-miR-455-5p,6,1,1,2,2,18,6,0,3,4,6,82
hsa-miR-378a-5p,1,4,9,3,3,1,4,0,1,3,2,8
hsa-miR-139-5p,1,4,5,10,9,8,5,7,15,7,15,7
hsa-miR-181a-3p,4,2,2,6,12,16,11,4,8,9,15,9
hsa-miR-26b-3p,3,3,2,5,8,14,8,2,3,5,10,13
hsa-miR-425-3p,0,1,1,6,2,1,9,0,3,2,1,2
hsa-miR-27b-5p,1,3,10,7,4,8,5,1,3,5,9,1
hsa-miR-138-1-3p,0,0,2,5,2,0,2,1,2,0,1,0
hsa-miR-181c-3p,0,4,4,6,1,4,6,2,2,3,6,5
hsa-miR-195-3p,2,2,9,13,15,8,9,2,7,10,12,4
hsa-miR-148a-5p,0,2,6,4,3,18,7,2,4,5,4,26
hsa-miR-324-5p,0,1,2,4,2,1,2,0,3,0,3,9
hsa-miR-1247-5p,1,1,8,8,5,9,6,1,4,5,6,27
hsa-miR-30c-2-3p,0,1,2,4,0,5,3,4,5,4,6,4
hsa-miR-365a-3p,0,2,3,9,4,10,0,0,4,4,2,38
hsa-miR-140-5p,4,1,5,2,8,4,0,2,6,3,4,6
hsa-miR-378d,2,5,3,3,5,3,8,3,7,6,4,15
hsa-miR-365b-3p,1,3,5,3,7,4,4,0,9,2,0,37
hsa-miR-424-5p,2,0,3,5,2,10,3,3,8,5,3,8
hsa-miR-381-3p,2,4,3,5,7,2,6,2,7,6,9,10
hsa-miR-450a-5p,3,5,3,1,1,9,3,0,16,1,11,3
hsa-miR-208a-3p,0,5,2,7,4,3,6,1,4,3,13,3
hsa-let-7b-3p,0,2,2,4,8,6,2,1,5,7,9,7
hsa-miR-16-2-3p,2,1,1,9,0,1,1,0,2,0,6,2
hsa-miR-212-3p,0,2,3,8,10,4,9,2,8,4,7,4
hsa-miR-30c-1-3p,1,2,1,2,0,2,0,0,3,1,1,1
hsa-miR-30d-3p,1,0,2,5,8,11,4,0,3,5,6,15
hsa-miR-410-3p,1,2,2,4,5,5,10,2,13,8,5,8
hsa-miR-136-3p,3,0,0,2,1,10,7,6,9,5,7,5
hsa-miR-330-3p,3,5,1,7,4,4,4,0,3,5,4,3
hsa-miR-125b-1-3p,0,3,2,3,11,4,6,3,5,7,5,7
hsa-miR-7-1-3p,5,1,3,5,4,3,3,0,6,3,3,11
hsa-miR-363-3p,5,2,2,5,3,2,11,0,4,4,13,5
hsa-miR-185-3p,1,2,2,1,1,1,1,0,0,0,2,0
hsa-miR-34c-5p,3,1,3,3,2,0,1,1,10,3,2,10
hsa-miR-124-3p,0,0,0,0,0,0,7,1,11,11,9,4
hsa-miR-122-3p,1,0,2,8,0,11,1,0,5,0,3,24
hsa-miR-362-3p,0,2,1,3,7,5,6,1,6,2,2,13
hsa-miR-296-5p,0,1,0,0,0,0,0,0,0,1,1,2
hsa-miR-542-3p,0,2,1,5,2,3,4,1,4,3,7,3
hsa-miR-3074-3p,0,2,0,1,0,0,1,0,0,0,3,0
hsa-miR-744-3p,0,0,3,0,1,1,3,0,2,0,3,4
hsa-miR-371a-5p,1,1,2,3,4,6,8,0,7,7,10,4
hsa-miR-450b-5p,0,0,2,1,4,1,0,1,8,5,7,7
hsa-miR-151b,1,1,1,2,4,3,1,0,0,2,0,8
hsa-miR-511-3p,0,6,1,5,11,2,1,2,5,1,2,3
hsa-miR-411-5p,0,1,5,2,2,1,4,0,8,3,7,2
hsa-miR-27a-5p,0,0,3,3,4,4,5,1,2,3,4,8
hsa-miR-330-5p,0,0,1,0,0,2,1,2,1,5,1,1
