"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-99a-5p",135.174354665387,-1.44373151730557,0.226912648352949,-6.36249908405251,1.98497222712384e-10,6.15341390408392e-08
"hsa-miR-30e-5p",9128.70223832684,-0.815327510252292,0.133599843816083,-6.10275795961778,1.0425365797498e-09,1.29092963108979e-07
"hsa-miR-186-5p",4171.57052859968,-0.929568474028552,0.153045953930635,-6.07378666442798,1.24928673976432e-09,1.29092963108979e-07
"hsa-miR-30d-5p",2041.29811671729,-0.740172241129272,0.125963107442298,-5.87610337787461,4.20036075524027e-09,3.25527958531121e-07
"hsa-miR-125b-5p",56.7542155544446,-2.10152267300695,0.365329129295183,-5.75240927834401,8.79804843500734e-09,5.45479002970455e-07
"hsa-miR-100-5p",182.117618618616,-2.05453867855537,0.3700703503647,-5.55175165081624,2.82821203208296e-08,1.46124288324286e-06
"hsa-let-7f-5p",9902.79645224813,1.14228575787644,0.231327289607772,4.93796369556421,7.89425338500043e-07,3.05902318668766e-05
"hsa-miR-425-5p",938.639830462399,-0.677761792580871,0.140164919566595,-4.83545950496444,1.32838416259208e-06,4.34681652307378e-05
"hsa-miR-378c",67.5831157268497,0.8198323914681,0.1699243012112,4.82469185175065,1.4021988784109e-06,4.34681652307378e-05
"hsa-miR-1343-3p",25.5704077987972,-1.30263732015356,0.274144804292055,-4.75163964357254,2.0177373545179e-06,5.68635072636862e-05
"hsa-miR-141-3p",25.1553262301831,-1.33018414597736,0.286864574561734,-4.63697599471664,3.53543453266165e-06,9.13320587604261e-05
"hsa-miR-145-3p",62.9814970742633,-2.56975441754151,0.568195274338236,-4.52266066544542,6.10671002509852e-06,0.000145621546752349
"hsa-miR-23b-3p",286.780276483269,0.8286106056046,0.186232964304237,4.44932296868213,8.61413990211866e-06,0.000190741669261199
"hsa-miR-320a-3p",1801.50397477582,0.826104799448814,0.187316506969183,4.41020822358557,1.03271268808852e-05,0.000213427288871627
"hsa-miR-6529-5p",20455.4732531968,0.907672254646849,0.206590388901361,4.39358413270729,1.11497011050344e-05,0.000216025458910042
"hsa-miR-130b-3p",1550.17101461883,0.791520453858042,0.183834641468655,4.30561099657053,1.66525465751142e-05,0.000303664084605023
"hsa-miR-99b-5p",358.489183376239,-1.12876955010476,0.273780450663993,-4.12290047506014,3.7413137508639e-05,0.000504264027290351
"hsa-miR-500a-3p",247.705823870892,-1.14256987561071,0.276311756827273,-4.13507513661442,3.54838519488516e-05,0.000504264027290351
"hsa-miR-151a-3p",1046.62301937853,-0.800723595192889,0.196208057424577,-4.08099242051102,4.48438175820866e-05,0.000577440213797957
"hsa-miR-30e-3p",205.999189739763,-0.908177543865239,0.224272465643714,-4.04943844202434,5.13406799318674e-05,0.000612138876110727
"hsa-let-7a-5p",3878.88334136053,1.00708987731039,0.249829274167014,4.03111236931001,5.55134932105874e-05,0.000614613674831504
"hsa-miR-125a-5p",262.22188928948,-1.25055855272443,0.319299922134064,-3.91656391384701,8.98200109814772e-05,0.000960144944974411
"hsa-miR-181c-5p",155.160126070132,-0.814090191563493,0.214088688722988,-3.80258385634214,0.000143194774194346,0.00147967933334158
"hsa-miR-128-3p",2091.72420955654,0.746060592753134,0.197139921846843,3.784421672505,0.000154066418634304,0.00149251843051982
"hsa-miR-16-5p",24551.5452469164,-0.84359348162179,0.231826648294433,-3.63889780501153,0.00027380742127867,0.00235778612767743
"hsa-miR-145-5p",25.4306484299117,-1.55841673316395,0.441710639975909,-3.52813944723846,0.00041849163138032,0.00341401067704998
"hsa-miR-423-5p",183153.68086788,0.784169446438608,0.229241796647403,3.42070886682475,0.000624581545734317,0.00484050697944096
"hsa-miR-103a-3p",8166.46595716197,0.657215835692475,0.199484373935241,3.29457301706161,0.000985713320218887,0.00703654409104858
"hsa-miR-208a-3p",79.7182585217943,-2.29700150662919,0.697989468526448,-3.29088275712594,0.000998735290342379,0.00703654409104858
"hsa-miR-107",3998.34220287632,0.661745713596746,0.202451292816168,3.2686662771654,0.00108055666238642,0.00744383478532864
"hsa-miR-1307-5p",393.691683034148,0.706404124799225,0.219665448199147,3.21581810243915,0.00130073248738474,0.00857929938487807
"hsa-miR-138-5p",214.12337381916,1.18727580651035,0.371652648370197,3.19458454478097,0.00140032263107807,0.00904375032571252
"hsa-miR-760",293.96690302452,0.698880154689189,0.222175083192286,3.14562796442988,0.00165730676229835,0.0100738254178919
"hsa-miR-320b",371.511364450583,0.705875576805345,0.243783028885031,2.89550745199018,0.00378546041811327,0.0213362314475475
"hsa-miR-191-5p",138918.621005982,-0.693511241164281,0.244954993118289,-2.83117821905097,0.00463768719801954,0.0252225093225624
"hsa-miR-24-3p",2635.05043584483,0.649574605156026,0.231987211662122,2.8000448839486,0.00510955015205965,0.0263993424523082
"hsa-miR-133a-3p",94.6070342040783,-0.730197746421348,0.260220256568099,-2.80607573004317,0.00501489047709065,0.0263993424523082
"hsa-miR-98-3p",27.0547881830106,-0.950280334886927,0.33910132574017,-2.80234921763491,0.00507319250539758,0.0263993424523082
"hsa-miR-181d-5p",66.7999089902982,-0.641168433473869,0.232371541404945,-2.75923819929622,0.00579362880116906,0.0294430316124985
"hsa-miR-148a-3p",14294.7153522891,-0.715178901708077,0.264866307282942,-2.70015053648968,0.00693081078172292,0.0330546360359093
"hsa-miR-223-3p",2322.20824368469,-0.927372779547437,0.36134526769426,-2.56644506641804,0.0102746898608615,0.0475396098039862
